SampleID,DNAmAge,Comment,noMissingPerSample,meanMethBySample,minMethBySample,maxMethBySample,predictedGender,meanXchromosome
9829118108_R04C01,15.32890222,,0,0.272911511,0,0.993079165,Male,0.323668469
9829118108_R04C02,10.69333262,,0,0.282022241,0,0.988312495,Male,0.333722563
9829118108_R06C01,8.60366361,,0,0.286346741,0,0.992119315,Male,0.33784918
9829118109_R02C02,17.79937268,,0,0.262476896,0,0.993200469,Male,0.312848702
9829118109_R04C01,11.15241175,,0,0.26977204,0,0.986871888,Male,0.321277103
9829118109_R04C02,13.70081104,,0,0.276326105,0,0.990129218,Male,0.326927534
9829118109_R06C01,10.65948924,,0,0.275999767,0,0.996398732,Male,0.329437656
9829118109_R06C02,8.690665357,,0,0.276744319,0.001510708,0.992422138,Male,0.328227555
9829118128_R02C01,10.62799654,,0,0.263797988,0,0.993589744,Male,0.315035126
9829118128_R02C02,15.35271514,,0,0.256208554,0,0.991792515,Male,0.308061511
9829118128_R04C01,11.07925759,,0,0.269042967,0.000764877,0.988717909,Male,0.320679174
9829118128_R04C02,9.85930759,,0,0.269624709,0.00202734,0.988278059,Male,0.322272224
9829118128_R06C01,9.310499877,,0,0.272489105,0,0.989685675,Male,0.323110745
9829118133_R02C01,6.390776739,,0,0.281638478,0.004786734,0.972986493,Male,0.328431447
9829118133_R02C02,3.405718762,,0,0.297717446,0.003429061,0.972639011,Male,0.345902317
9829118133_R04C01,12.57050047, WARNING: meanMethBySample is < 0.25,0,0.245105071,0.003639049,0.983481775,Male,0.293654108
9829118133_R04C02,10.82189544,,0,0.258593089,0,0.991837823,Male,0.308731861
9829118133_R06C01,6.559913508,,0,0.288835153,0.004044804,0.984887903,Male,0.342731604
9829118133_R06C02,7.471699657,,0,0.279582974,0,0.983986861,Male,0.330616567
9829118135_R02C01,6.428643244,,0,0.262293878,0,0.996309282,Male,0.314575649
9829118135_R02C02,3.091425885,,0,0.267607398,0.002382087,0.993717237,Male,0.320520448
9829118135_R04C01,6.601557809,,0,0.272066857,0.002369267,0.991761403,Male,0.323700096
9829118135_R04C02,6.0857949,,0,0.276307172,0,0.989552814,Male,0.33053535
9829118135_R06C01,3.12350663,,0,0.283524406,0.001242065,0.991530252,Male,0.334983531
9829118135_R06C02,6.814961283,,0,0.27733902,0.003924989,0.990466667,Male,0.328119757
9829118140_R02C01,9.944490861,,0,0.26547012,0,0.987967648,Male,0.317896626
9829118140_R02C02,11.84163521,,0,0.265828544,0.001572472,0.987560922,Male,0.315837216
9829118140_R04C01,7.357119484,,0,0.280664334,0.001252059,0.991343664,Male,0.333639013
9829118140_R04C02,9.150482023,,0,0.27600251,0,0.986942556,Male,0.329666746
9829118140_R06C01,7.503818947,,0,0.277597019,0.005560991,0.986184211,Male,0.32895773
9829118140_R06C02,8.151085848,,0,0.28331197,0.00116264,0.984048628,Male,0.343804352
9829118142_R02C01,9.905596944,,0,0.282614396,0.00096432,0.991179324,Male,0.332283886
9829118142_R02C02,9.375268921,,0,0.277992483,0.000739801,0.986448768,Male,0.330901692
9829118142_R04C01,9.727919495,,0,0.278523998,0,0.988829346,Male,0.33039731
9829118142_R04C02,9.206109552,,0,0.282249325,0,0.986478519,Male,0.322367317
9829118142_R06C01,11.50223749,,0,0.279271533,0,0.988249663,Male,0.332548508
9829118142_R06C02,7.369048937,,0,0.290787175,0,0.987672976,Male,0.341449664
9829118143_R02C01,9.230234539,,0,0.285960289,0.002367104,0.986813371,Male,0.338326051
9829118143_R02C02,12.0766425,,0,0.281573887,0.000737403,0.98994015,Male,0.332777171
9829118143_R04C01,13.23661389,,0,0.278185999,0,0.990140733,Male,0.329864245
9829118143_R04C02,16.52058849,,0,0.283101008,0,0.989971412,Male,0.333273275
9829118143_R06C01,14.63774105,,0,0.288084025,0.000617538,0.990438648,Male,0.338746174
9829118143_R06C02,10.76562923,,0,0.285607112,0.000893225,0.988723482,Male,0.336283072
9878827069_R02C01,17.84085305,,0,0.254846001,0,0.986917581,Male,0.304905296
9878827069_R02C02,21.49299235,,0,0.25934421,0.002574003,0.987348628,Male,0.310902829
9878827069_R04C01,17.20097568,,0,0.266494128,0.000338897,0.991535332,Male,0.31907267
9878827069_R04C02,17.31171626,,0,0.267066001,0.000441969,0.987784775,Male,0.317417395
9878827069_R06C01,13.34783453,,0,0.276789408,0,0.989166978,Male,0.330388729
9878827069_R06C02,9.777183281,,0,0.278831235,0,0.991135145,Male,0.33121016
9878827091_R02C01,1.560806016,,0,0.273568978,0.001500228,0.988886995,Male,0.327264227
9878827091_R02C02,4.088087189,,0,0.273101751,0.00138484,0.988735876,Male,0.326488012
9878827091_R04C01,1.00530939,,0,0.273341077,0.000230379,0.988844022,Male,0.325608661
