SampleID,mMed,uMed,xMed,yMed,predictedSexQC,BMIQ
9554599003_R04C02,11.73981786,11.6210992,13.34197217,8.818492719,F,PASS
9554599003_R05C01,11.70507619,11.54637809,12.80802932,12.8014134,M,PASS
9554599003_R05C02,11.67953299,11.51036823,12.78524411,12.80880427,M,PASS
9554599003_R06C01,11.6996495,11.54773035,13.42457388,8.697646648,F,PASS
9554599003_R06C02,11.63362986,11.42987214,12.77267891,12.77056192,M,PASS
9554599011_R01C01,11.58182245,11.39136749,12.66307885,12.65355253,M,PASS
9554599011_R01C02,11.52195978,11.31385477,12.60603125,12.56191153,M,PASS
9554599011_R02C02,11.94438289,11.33367528,13.35242882,8.786571123,F,PASS
9554599011_R03C01,11.78107096,11.75909746,13.04534818,13.03752559,M,PASS
9554599011_R03C02,11.98177095,11.54620522,12.89961651,12.89750022,M,PASS
9554599011_R04C02,12.16231532,11.7264591,13.53600638,8.751499009,F,PASS
9554599011_R05C01,12.02424791,11.6591585,13.58369852,8.869219611,F,PASS
9554599011_R05C02,10.94935627,11.40297809,12.85545825,12.83340952,M,PASS
9554599011_R06C01,12.00677534,11.54879038,13.54139386,8.830851564,F,PASS
9554599011_R06C02,11.99835217,11.678615,13.59265491,8.94153509,F,PASS
9554599022_R01C01,10.61605268,10.44241311,12.23822372,8.104479471,F,PASS
9554599022_R01C02,10.4882025,10.60881718,11.7198912,11.64970609,M,PASS
9554599022_R02C01,10.99577797,10.66551264,12.04394194,12.0070619,M,PASS
9554599022_R02C02,10.89850277,10.75886237,12.57642755,8.424798419,F,PASS
9554599022_R03C01,11.38495565,11.24219815,13.01614914,8.752640242,F,PASS
9554599022_R03C02,11.29207442,11.15561111,12.41156672,12.41306005,M,PASS
9554599022_R04C01,11.17105052,11.34880795,12.44153567,12.28541842,M,PASS
9554599022_R04C02,11.60325185,11.42274632,13.21131983,8.868357685,F,PASS
9554599022_R05C01,11.62639224,11.37094815,13.12879048,8.889528491,F,PASS
